Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 2 Train Epoch: 73 [1280/5000 (25%)]	Loss: 0.874445
Task: 2 Train Epoch: 73 [2560/5000 (50%)]	Loss: 0.717925
Task: 2 Train Epoch: 73 [3840/5000 (75%)]	Loss: 0.744534
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 694/1000(69%)

Task: 2 Train Epoch: 74 [0/5000 (0%)]	Loss: 0.886919
Task: 2 Train Epoch: 74 [1280/5000 (25%)]	Loss: 0.878241
Task: 2 Train Epoch: 74 [2560/5000 (50%)]	Loss: 0.705363
Task: 2 Train Epoch: 74 [3840/5000 (75%)]	Loss: 0.788747
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 692/1000(69%)

Task: 2 Train Epoch: 75 [0/5000 (0%)]	Loss: 0.863824
Task: 2 Train Epoch: 75 [1280/5000 (25%)]	Loss: 0.671731
Task: 2 Train Epoch: 75 [2560/5000 (50%)]	Loss: 0.737946
Task: 2 Train Epoch: 75 [3840/5000 (75%)]	Loss: 0.810053
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 695/1000(70%)

Task: 2 Train Epoch: 76 [0/5000 (0%)]	Loss: 0.835276
Task: 2 Train Epoch: 76 [1280/5000 (25%)]	Loss: 0.914567
Task: 2 Train Epoch: 76 [2560/5000 (50%)]	Loss: 0.984511
Task: 2 Train Epoch: 76 [3840/5000 (75%)]	Loss: 0.851052
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 694/1000(69%)

Task: 2 Train Epoch: 77 [0/5000 (0%)]	Loss: 0.950574
Task: 2 Train Epoch: 77 [1280/5000 (25%)]	Loss: 0.788371
Task: 2 Train Epoch: 77 [2560/5000 (50%)]	Loss: 0.740866
Task: 2 Train Epoch: 77 [3840/5000 (75%)]	Loss: 0.723700
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 688/1000(69%)

Task: 2 Train Epoch: 78 [0/5000 (0%)]	Loss: 0.858579
Task: 2 Train Epoch: 78 [1280/5000 (25%)]	Loss: 0.787687
Task: 2 Train Epoch: 78 [2560/5000 (50%)]	Loss: 0.872584
Task: 2 Train Epoch: 78 [3840/5000 (75%)]	Loss: 0.874947
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 696/1000(70%)

Task: 2 Train Epoch: 79 [0/5000 (0%)]	Loss: 0.865035
Task: 2 Train Epoch: 79 [1280/5000 (25%)]	Loss: 0.725734
Task: 2 Train Epoch: 79 [2560/5000 (50%)]	Loss: 0.917888
Task: 2 Train Epoch: 79 [3840/5000 (75%)]	Loss: 0.856855
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 686/1000(69%)

Task: 2 Train Epoch: 80 [0/5000 (0%)]	Loss: 0.860057
Task: 2 Train Epoch: 80 [1280/5000 (25%)]	Loss: 0.933510
Task: 2 Train Epoch: 80 [2560/5000 (50%)]	Loss: 0.918981
Task: 2 Train Epoch: 80 [3840/5000 (75%)]	Loss: 0.890047
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 687/1000(69%)

Task: 2 Train Epoch: 81 [0/5000 (0%)]	Loss: 0.613049
Task: 2 Train Epoch: 81 [1280/5000 (25%)]	Loss: 0.982603
Task: 2 Train Epoch: 81 [2560/5000 (50%)]	Loss: 0.842786
Task: 2 Train Epoch: 81 [3840/5000 (75%)]	Loss: 0.689999
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 695/1000(70%)

Task: 2 Train Epoch: 82 [0/5000 (0%)]	Loss: 0.684832
Task: 2 Train Epoch: 82 [1280/5000 (25%)]	Loss: 0.941772
Task: 2 Train Epoch: 82 [2560/5000 (50%)]	Loss: 0.939826
Task: 2 Train Epoch: 82 [3840/5000 (75%)]	Loss: 0.727252
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 693/1000(69%)

Task: 2 Train Epoch: 83 [0/5000 (0%)]	Loss: 0.770996
Task: 2 Train Epoch: 83 [1280/5000 (25%)]	Loss: 0.920077
Task: 2 Train Epoch: 83 [2560/5000 (50%)]	Loss: 0.794445
Task: 2 Train Epoch: 83 [3840/5000 (75%)]	Loss: 0.886696
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 692/1000(69%)

Task: 2 Train Epoch: 84 [0/5000 (0%)]	Loss: 0.866700
Task: 2 Train Epoch: 84 [1280/5000 (25%)]	Loss: 0.742888
Task: 2 Train Epoch: 84 [2560/5000 (50%)]	Loss: 0.757071
Task: 2 Train Epoch: 84 [3840/5000 (75%)]	Loss: 0.881764
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 684/1000(68%)

Task: 2 Train Epoch: 85 [0/5000 (0%)]	Loss: 0.715945
Task: 2 Train Epoch: 85 [1280/5000 (25%)]	Loss: 0.876338
Task: 2 Train Epoch: 85 [2560/5000 (50%)]	Loss: 0.796671
Task: 2 Train Epoch: 85 [3840/5000 (75%)]	Loss: 0.877911
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 695/1000(70%)

Task: 2 Train Epoch: 86 [0/5000 (0%)]	Loss: 0.888454
Task: 2 Train Epoch: 86 [1280/5000 (25%)]	Loss: 0.808020
Task: 2 Train Epoch: 86 [2560/5000 (50%)]	Loss: 0.854668
Task: 2 Train Epoch: 86 [3840/5000 (75%)]	Loss: 0.769530
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 693/1000(69%)

Task: 2 Train Epoch: 87 [0/5000 (0%)]	Loss: 0.884175
Task: 2 Train Epoch: 87 [1280/5000 (25%)]	Loss: 0.946115
Task: 2 Train Epoch: 87 [2560/5000 (50%)]	Loss: 0.878972
Task: 2 Train Epoch: 87 [3840/5000 (75%)]	Loss: 0.834951
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 687/1000(69%)

Task: 2 Train Epoch: 88 [0/5000 (0%)]	Loss: 0.690976
Task: 2 Train Epoch: 88 [1280/5000 (25%)]	Loss: 0.693634
Task: 2 Train Epoch: 88 [2560/5000 (50%)]	Loss: 0.941855
Task: 2 Train Epoch: 88 [3840/5000 (75%)]	Loss: 0.821371
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 690/1000(69%)

Task: 2 Train Epoch: 89 [0/5000 (0%)]	Loss: 0.799302
Task: 2 Train Epoch: 89 [1280/5000 (25%)]	Loss: 0.891298
Task: 2 Train Epoch: 89 [2560/5000 (50%)]	Loss: 0.728067
Task: 2 Train Epoch: 89 [3840/5000 (75%)]	Loss: 0.826268
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 692/1000(69%)

Task: 2 Train Epoch: 90 [0/5000 (0%)]	Loss: 0.750576
Task: 2 Train Epoch: 90 [1280/5000 (25%)]	Loss: 0.779968
Task: 2 Train Epoch: 90 [2560/5000 (50%)]	Loss: 0.874166
Task: 2 Train Epoch: 90 [3840/5000 (75%)]	Loss: 0.696483
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 693/1000(69%)

Task: 2 Train Epoch: 91 [0/5000 (0%)]	Loss: 0.799790
Task: 2 Train Epoch: 91 [1280/5000 (25%)]	Loss: 0.785389
Task: 2 Train Epoch: 91 [2560/5000 (50%)]	Loss: 0.651169
Task: 2 Train Epoch: 91 [3840/5000 (75%)]	Loss: 0.693837
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 686/1000(69%)

Task: 2 Train Epoch: 92 [0/5000 (0%)]	Loss: 0.779262
Task: 2 Train Epoch: 92 [1280/5000 (25%)]	Loss: 0.763876
Task: 2 Train Epoch: 92 [2560/5000 (50%)]	Loss: 0.679897
Task: 2 Train Epoch: 92 [3840/5000 (75%)]	Loss: 0.699021
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 689/1000(69%)

Task: 2 Train Epoch: 93 [0/5000 (0%)]	Loss: 0.901492
Task: 2 Train Epoch: 93 [1280/5000 (25%)]	Loss: 0.661382
Task: 2 Train Epoch: 93 [2560/5000 (50%)]	Loss: 0.846244
Task: 2 Train Epoch: 93 [3840/5000 (75%)]	Loss: 0.696318
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 686/1000(69%)

Task: 2 Train Epoch: 94 [0/5000 (0%)]	Loss: 0.882788
Task: 2 Train Epoch: 94 [1280/5000 (25%)]	Loss: 0.692999
Task: 2 Train Epoch: 94 [2560/5000 (50%)]	Loss: 1.019849
Task: 2 Train Epoch: 94 [3840/5000 (75%)]	Loss: 0.532802
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 689/1000(69%)

Task: 2 Train Epoch: 95 [0/5000 (0%)]	Loss: 0.703657
Task: 2 Train Epoch: 95 [1280/5000 (25%)]	Loss: 0.788753
Task: 2 Train Epoch: 95 [2560/5000 (50%)]	Loss: 0.811021
Task: 2 Train Epoch: 95 [3840/5000 (75%)]	Loss: 0.955828
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 697/1000(70%)

Task: 2 Train Epoch: 96 [0/5000 (0%)]	Loss: 0.986710
Task: 2 Train Epoch: 96 [1280/5000 (25%)]	Loss: 0.806697
Task: 2 Train Epoch: 96 [2560/5000 (50%)]	Loss: 0.827616
Task: 2 Train Epoch: 96 [3840/5000 (75%)]	Loss: 0.766857
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 690/1000(69%)

Task: 2 Train Epoch: 97 [0/5000 (0%)]	Loss: 0.790454
Task: 2 Train Epoch: 97 [1280/5000 (25%)]	Loss: 0.749705
Task: 2 Train Epoch: 97 [2560/5000 (50%)]	Loss: 1.077832
Task: 2 Train Epoch: 97 [3840/5000 (75%)]	Loss: 0.703960
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 689/1000(69%)

Task: 2 Train Epoch: 98 [0/5000 (0%)]	Loss: 0.819607
Task: 2 Train Epoch: 98 [1280/5000 (25%)]	Loss: 0.828240
Task: 2 Train Epoch: 98 [2560/5000 (50%)]	Loss: 0.715411
Task: 2 Train Epoch: 98 [3840/5000 (75%)]	Loss: 0.660479
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 690/1000(69%)

Task: 2 Train Epoch: 99 [0/5000 (0%)]	Loss: 0.764284
Task: 2 Train Epoch: 99 [1280/5000 (25%)]	Loss: 0.693239
Task: 2 Train Epoch: 99 [2560/5000 (50%)]	Loss: 0.665488
Task: 2 Train Epoch: 99 [3840/5000 (75%)]	Loss: 0.733962
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 691/1000(69%)

Saving head (task#: 2)
Computing MAS
Loading head (task#:0)
Loading mask (task#:0)
Files already downloaded and verified
Files already downloaded and verified
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 802/1000(80%)

Trained Task:2, Loaded task:0, Accuracy:80.2%
Loading head (task#:1)
Loading mask (task#:1)
Files already downloaded and verified
Files already downloaded and verified
Task: 1   Test set: Avg. loss: 0.0011, Accuracy: 639/1000(64%)

Trained Task:2, Loaded task:1, Accuracy:63.9%
Loading head (task#:2)
Loading mask (task#:2)
Files already downloaded and verified
Files already downloaded and verified
Task: 2   Test set: Avg. loss: 0.0009, Accuracy: 691/1000(69%)

Trained Task:2, Loaded task:2, Accuracy:69.1%
Files already downloaded and verified
Files already downloaded and verified
Layer        : conv1_layer.2.weight
Sum Omega    : 58633.7734375
Max Fisher   : 0.3738313615322113
Max Omega    : 56.33026123046875
Max Relevance: 0.0
Mask active  : 16384.0/16384

Layer        : conv2_layer.2.weight
Sum Omega    : 42033.83984375
Max Fisher   : 0.32859471440315247
Max Omega    : 15.147443771362305
Max Relevance: 0.12606577575206757
Mask active  : 4096.0/8192

Layer        : fc1_layer.0.weight
Sum Omega    : 66581.609375
Max Fisher   : 0.017534030601382256
Max Omega    : 1.3289564847946167
Max Relevance: 0.010731383226811886
Mask active  : 1024.0/1024

Saving  mask (task#:3)
Task: 3 Train Epoch: 0 [0/5000 (0%)]	Loss: 2.305393
Task: 3 Train Epoch: 0 [1280/5000 (25%)]	Loss: 2.399067
Task: 3 Train Epoch: 0 [2560/5000 (50%)]	Loss: 2.360012
Task: 3 Train Epoch: 0 [3840/5000 (75%)]	Loss: 2.332940
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 1 [0/5000 (0%)]	Loss: 2.321364
Task: 3 Train Epoch: 1 [1280/5000 (25%)]	Loss: 2.324095
Task: 3 Train Epoch: 1 [2560/5000 (50%)]	Loss: 2.316331
Task: 3 Train Epoch: 1 [3840/5000 (75%)]	Loss: 2.305731
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 2 [0/5000 (0%)]	Loss: 2.312587
Task: 3 Train Epoch: 2 [1280/5000 (25%)]	Loss: 2.312947
Task: 3 Train Epoch: 2 [2560/5000 (50%)]	Loss: 2.323300
Task: 3 Train Epoch: 2 [3840/5000 (75%)]	Loss: 2.308746
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 3 [0/5000 (0%)]	Loss: 2.313000
Task: 3 Train Epoch: 3 [1280/5000 (25%)]	Loss: 2.312071
Task: 3 Train Epoch: 3 [2560/5000 (50%)]	Loss: 2.311394
Task: 3 Train Epoch: 3 [3840/5000 (75%)]	Loss: 2.298702
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 4 [0/5000 (0%)]	Loss: 2.306288
Task: 3 Train Epoch: 4 [1280/5000 (25%)]	Loss: 2.310817
Task: 3 Train Epoch: 4 [2560/5000 (50%)]	Loss: 2.307398
Task: 3 Train Epoch: 4 [3840/5000 (75%)]	Loss: 2.304420
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 5 [0/5000 (0%)]	Loss: 2.297747
Task: 3 Train Epoch: 5 [1280/5000 (25%)]	Loss: 2.333632
Task: 3 Train Epoch: 5 [2560/5000 (50%)]	Loss: 2.298288
Task: 3 Train Epoch: 5 [3840/5000 (75%)]	Loss: 2.307476
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 6 [0/5000 (0%)]	Loss: 2.313766
Task: 3 Train Epoch: 6 [1280/5000 (25%)]	Loss: 2.308019
Task: 3 Train Epoch: 6 [2560/5000 (50%)]	Loss: 2.322481
Task: 3 Train Epoch: 6 [3840/5000 (75%)]	Loss: 2.302555
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 7 [0/5000 (0%)]	Loss: 2.299962
Task: 3 Train Epoch: 7 [1280/5000 (25%)]	Loss: 2.313675
Task: 3 Train Epoch: 7 [2560/5000 (50%)]	Loss: 2.310984
Task: 3 Train Epoch: 7 [3840/5000 (75%)]	Loss: 2.297856
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 8 [0/5000 (0%)]	Loss: 2.300703
Task: 3 Train Epoch: 8 [1280/5000 (25%)]	Loss: 2.326391
Task: 3 Train Epoch: 8 [2560/5000 (50%)]	Loss: 2.311455
Task: 3 Train Epoch: 8 [3840/5000 (75%)]	Loss: 2.308624
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 9 [0/5000 (0%)]	Loss: 2.303036
Task: 3 Train Epoch: 9 [1280/5000 (25%)]	Loss: 2.294927
Task: 3 Train Epoch: 9 [2560/5000 (50%)]	Loss: 2.308062
Task: 3 Train Epoch: 9 [3840/5000 (75%)]	Loss: 2.306123
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 10 [0/5000 (0%)]	Loss: 2.298092
Task: 3 Train Epoch: 10 [1280/5000 (25%)]	Loss: 2.306776
Task: 3 Train Epoch: 10 [2560/5000 (50%)]	Loss: 2.299479
Task: 3 Train Epoch: 10 [3840/5000 (75%)]	Loss: 2.301601
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 11 [0/5000 (0%)]	Loss: 2.303186
Task: 3 Train Epoch: 11 [1280/5000 (25%)]	Loss: 2.308317
Task: 3 Train Epoch: 11 [2560/5000 (50%)]	Loss: 2.314074
Task: 3 Train Epoch: 11 [3840/5000 (75%)]	Loss: 2.307571
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 12 [0/5000 (0%)]	Loss: 2.308061
Task: 3 Train Epoch: 12 [1280/5000 (25%)]	Loss: 2.309160
Task: 3 Train Epoch: 12 [2560/5000 (50%)]	Loss: 2.307228
Task: 3 Train Epoch: 12 [3840/5000 (75%)]	Loss: 2.304603
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 13 [0/5000 (0%)]	Loss: 2.304925
Task: 3 Train Epoch: 13 [1280/5000 (25%)]	Loss: 2.298785
Task: 3 Train Epoch: 13 [2560/5000 (50%)]	Loss: 2.308211
Task: 3 Train Epoch: 13 [3840/5000 (75%)]	Loss: 2.305264
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 14 [0/5000 (0%)]	Loss: 2.301728
Task: 3 Train Epoch: 14 [1280/5000 (25%)]	Loss: 2.300834
Task: 3 Train Epoch: 14 [2560/5000 (50%)]	Loss: 2.303336
Task: 3 Train Epoch: 14 [3840/5000 (75%)]	Loss: 2.304623
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 15 [0/5000 (0%)]	Loss: 2.310880
Task: 3 Train Epoch: 15 [1280/5000 (25%)]	Loss: 2.307324
Task: 3 Train Epoch: 15 [2560/5000 (50%)]	Loss: 2.307272
Task: 3 Train Epoch: 15 [3840/5000 (75%)]	Loss: 2.300565
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 16 [0/5000 (0%)]	Loss: 2.310068
Task: 3 Train Epoch: 16 [1280/5000 (25%)]	Loss: 2.308682
Task: 3 Train Epoch: 16 [2560/5000 (50%)]	Loss: 2.305211
Task: 3 Train Epoch: 16 [3840/5000 (75%)]	Loss: 2.305548
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 17 [0/5000 (0%)]	Loss: 2.298025
Task: 3 Train Epoch: 17 [1280/5000 (25%)]	Loss: 2.314859
Task: 3 Train Epoch: 17 [2560/5000 (50%)]	Loss: 2.300879
Task: 3 Train Epoch: 17 [3840/5000 (75%)]	Loss: 2.306042
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 18 [0/5000 (0%)]	Loss: 2.302618
Task: 3 Train Epoch: 18 [1280/5000 (25%)]	Loss: 2.297900
Task: 3 Train Epoch: 18 [2560/5000 (50%)]	Loss: 2.315080
Task: 3 Train Epoch: 18 [3840/5000 (75%)]	Loss: 2.306678
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 19 [0/5000 (0%)]	Loss: 2.303996
Task: 3 Train Epoch: 19 [1280/5000 (25%)]	Loss: 2.305687
Task: 3 Train Epoch: 19 [2560/5000 (50%)]	Loss: 2.303849
Task: 3 Train Epoch: 19 [3840/5000 (75%)]	Loss: 2.315928
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 20 [0/5000 (0%)]	Loss: 2.312383
Task: 3 Train Epoch: 20 [1280/5000 (25%)]	Loss: 2.306337
Task: 3 Train Epoch: 20 [2560/5000 (50%)]	Loss: 2.303280
Task: 3 Train Epoch: 20 [3840/5000 (75%)]	Loss: 2.303658
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 21 [0/5000 (0%)]	Loss: 2.302649
Task: 3 Train Epoch: 21 [1280/5000 (25%)]	Loss: 2.309029
Task: 3 Train Epoch: 21 [2560/5000 (50%)]	Loss: 2.299729
Task: 3 Train Epoch: 21 [3840/5000 (75%)]	Loss: 2.307595
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 22 [0/5000 (0%)]	Loss: 2.302858
Task: 3 Train Epoch: 22 [1280/5000 (25%)]	Loss: 2.294155
Task: 3 Train Epoch: 22 [2560/5000 (50%)]	Loss: 2.305687
Task: 3 Train Epoch: 22 [3840/5000 (75%)]	Loss: 2.305913
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 23 [0/5000 (0%)]	Loss: 2.302755
Task: 3 Train Epoch: 23 [1280/5000 (25%)]	Loss: 2.298610
Task: 3 Train Epoch: 23 [2560/5000 (50%)]	Loss: 2.312101
Task: 3 Train Epoch: 23 [3840/5000 (75%)]	Loss: 2.303341
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 24 [0/5000 (0%)]	Loss: 2.303611
Task: 3 Train Epoch: 24 [1280/5000 (25%)]	Loss: 2.304118
Task: 3 Train Epoch: 24 [2560/5000 (50%)]	Loss: 2.311561
Task: 3 Train Epoch: 24 [3840/5000 (75%)]	Loss: 2.310299
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 25 [0/5000 (0%)]	Loss: 2.297704
Task: 3 Train Epoch: 25 [1280/5000 (25%)]	Loss: 2.318132
Task: 3 Train Epoch: 25 [2560/5000 (50%)]	Loss: 2.304024
Task: 3 Train Epoch: 25 [3840/5000 (75%)]	Loss: 2.307814
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 26 [0/5000 (0%)]	Loss: 2.302149
Task: 3 Train Epoch: 26 [1280/5000 (25%)]	Loss: 2.321161
Task: 3 Train Epoch: 26 [2560/5000 (50%)]	Loss: 2.307144
Task: 3 Train Epoch: 26 [3840/5000 (75%)]	Loss: 2.302888
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 27 [0/5000 (0%)]	Loss: 2.305325
Task: 3 Train Epoch: 27 [1280/5000 (25%)]	Loss: 2.307439
Task: 3 Train Epoch: 27 [2560/5000 (50%)]	Loss: 2.297637
Task: 3 Train Epoch: 27 [3840/5000 (75%)]	Loss: 2.306033
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 28 [0/5000 (0%)]	Loss: 2.309449
Task: 3 Train Epoch: 28 [1280/5000 (25%)]	Loss: 2.319702
Task: 3 Train Epoch: 28 [2560/5000 (50%)]	Loss: 2.307646
Task: 3 Train Epoch: 28 [3840/5000 (75%)]	Loss: 2.304512
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 29 [0/5000 (0%)]	Loss: 2.302211
Task: 3 Train Epoch: 29 [1280/5000 (25%)]	Loss: 2.305646
Task: 3 Train Epoch: 29 [2560/5000 (50%)]	Loss: 2.302193
Task: 3 Train Epoch: 29 [3840/5000 (75%)]	Loss: 2.300428
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 30 [0/5000 (0%)]	Loss: 2.305735
Task: 3 Train Epoch: 30 [1280/5000 (25%)]	Loss: 2.297886
Task: 3 Train Epoch: 30 [2560/5000 (50%)]	Loss: 2.304517
Task: 3 Train Epoch: 30 [3840/5000 (75%)]	Loss: 2.303392
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 31 [0/5000 (0%)]	Loss: 2.296239
Task: 3 Train Epoch: 31 [1280/5000 (25%)]	Loss: 2.305467
Task: 3 Train Epoch: 31 [2560/5000 (50%)]	Loss: 2.313874
Task: 3 Train Epoch: 31 [3840/5000 (75%)]	Loss: 2.302507
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 32 [0/5000 (0%)]	Loss: 2.302868
Task: 3 Train Epoch: 32 [1280/5000 (25%)]	Loss: 2.322541
Task: 3 Train Epoch: 32 [2560/5000 (50%)]	Loss: 2.303908
Task: 3 Train Epoch: 32 [3840/5000 (75%)]	Loss: 2.307547
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 33 [0/5000 (0%)]	Loss: 2.299311
Task: 3 Train Epoch: 33 [1280/5000 (25%)]	Loss: 2.311702
Task: 3 Train Epoch: 33 [2560/5000 (50%)]	Loss: 2.305673
Task: 3 Train Epoch: 33 [3840/5000 (75%)]	Loss: 2.303828
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 34 [0/5000 (0%)]	Loss: 2.303773
Task: 3 Train Epoch: 34 [1280/5000 (25%)]	Loss: 2.309843
Task: 3 Train Epoch: 34 [2560/5000 (50%)]	Loss: 2.306193
Task: 3 Train Epoch: 34 [3840/5000 (75%)]	Loss: 2.307994
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 35 [0/5000 (0%)]	Loss: 2.296250
Task: 3 Train Epoch: 35 [1280/5000 (25%)]	Loss: 2.300728
Task: 3 Train Epoch: 35 [2560/5000 (50%)]	Loss: 2.307702
Task: 3 Train Epoch: 35 [3840/5000 (75%)]	Loss: 2.299884
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 36 [0/5000 (0%)]	Loss: 2.302594
Task: 3 Train Epoch: 36 [1280/5000 (25%)]	Loss: 2.289035
Task: 3 Train Epoch: 36 [2560/5000 (50%)]	Loss: 2.313687
Task: 3 Train Epoch: 36 [3840/5000 (75%)]	Loss: 2.301317
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 37 [0/5000 (0%)]	Loss: 2.298705
Task: 3 Train Epoch: 37 [1280/5000 (25%)]	Loss: 2.312190
Task: 3 Train Epoch: 37 [2560/5000 (50%)]	Loss: 2.302009
Task: 3 Train Epoch: 37 [3840/5000 (75%)]	Loss: 2.301805
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 38 [0/5000 (0%)]	Loss: 2.299237
Task: 3 Train Epoch: 38 [1280/5000 (25%)]	Loss: 2.307857
Task: 3 Train Epoch: 38 [2560/5000 (50%)]	Loss: 2.319384
Task: 3 Train Epoch: 38 [3840/5000 (75%)]	Loss: 2.308846
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 39 [0/5000 (0%)]	Loss: 2.298823
Task: 3 Train Epoch: 39 [1280/5000 (25%)]	Loss: 2.315069
Task: 3 Train Epoch: 39 [2560/5000 (50%)]	Loss: 2.302135
Task: 3 Train Epoch: 39 [3840/5000 (75%)]	Loss: 2.307382
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 40 [0/5000 (0%)]	Loss: 2.298032
Task: 3 Train Epoch: 40 [1280/5000 (25%)]	Loss: 2.307659
Task: 3 Train Epoch: 40 [2560/5000 (50%)]	Loss: 2.296347
Task: 3 Train Epoch: 40 [3840/5000 (75%)]	Loss: 2.302766
Task: 3   Test set: Avg. loss: 0.0023, Accuracy: 100/1000(10%)

Task: 3 Train Epoch: 41 [0/5000 (0%)]	Loss: 2.303330
